import_module	classification	package_name	installed_version	installed	source_file_count	source_files
pandas	THIRD_PARTY	pandas	2.3.3	True	27	06_scripts/python/phase1D_fiji_statistical_readiness_audit.py; 06_scripts/python/phase1E_correct_fiji_immunization_context.py; 06_scripts/python/phase1F_build_fiji_analysis_contract.py; 06_scripts/python/phase2A_fiji_descriptive_immune_landscape.py; 06_scripts/python/phase2B1_fiji_core_inferential_contrasts.py; 06_scripts/python/phase2B2A1_refit_hpv16_fcgr2a.py; 06_scripts/python/phase2B2A2_hpv16_fcgr2a_boundary_sensitivity.py; 06_scripts/python/phase2B2A_fiji_mixed_model_confirmation.py; 06_scripts/python/phase2B2B_fiji_floor_sensitivity.py; 06_scripts/python/phase2B2C_fiji_bpv_calibrated_inference.py; 06_scripts/python/phase2B2D1_fiji_integrated_evidence_grading.py; 06_scripts/python/phase2B2D2_fiji_biological_synthesis.py; 06_scripts/python/phase2C1_fiji_multivariate_readiness.py; 06_scripts/python/phase2C2A_fiji_crossreactive_breadth_scores.py; 06_scripts/python/phase2C2B_fiji_crossreactive_breadth_inference.py; 06_scripts/python/phase2C2C_fiji_crossreactive_breadth_synthesis.py; 06_scripts/python/phase2C3A_fiji_functional_coupling_atlas.py; 06_scripts/python/phase2C3B_fiji_context_partial_coupling.py; 06_scripts/python/phase2C3C_fiji_functional_coupling_synthesis.py; 06_scripts/python/phase2C4A_fiji_pca_evidence_inspection.py; 06_scripts/python/phase2C4A_fiji_standardized_pca_architecture.py; 06_scripts/python/phase2C4B_fiji_pca_stability_and_clustering.py; 06_scripts/python/phase2C4B_fiji_stability_clustering_evidence_inspection.py; 06_scripts/python/phase2C4C_fiji_immune_state_synthesis.py; 06_scripts/python/phase2C5A_fiji_multivariate_figure_construction.py; 06_scripts/python/phase2C5B_fiji_figure_qa_and_legends.py; 06_scripts/python/phase2C5C_fiji_final_figure_polish_and_qa.py
pathlib	STANDARD_LIBRARY			True	31	06_scripts/python/phase1B2_classify_fiji_metadata_structure.py; 06_scripts/python/phase1B_inspect_fiji_workbook.py; 06_scripts/python/phase1C_normalize_fiji_systems_serology.py; 06_scripts/python/phase1D_fiji_statistical_readiness_audit.py; 06_scripts/python/phase1E_correct_fiji_immunization_context.py; 06_scripts/python/phase1F_build_fiji_analysis_contract.py; 06_scripts/python/phase2A_fiji_descriptive_immune_landscape.py; 06_scripts/python/phase2B1_fiji_core_inferential_contrasts.py; 06_scripts/python/phase2B2A1_refit_hpv16_fcgr2a.py; 06_scripts/python/phase2B2A2_hpv16_fcgr2a_boundary_sensitivity.py; 06_scripts/python/phase2B2A_fiji_mixed_model_confirmation.py; 06_scripts/python/phase2B2B_fiji_floor_sensitivity.py; 06_scripts/python/phase2B2C_fiji_bpv_calibrated_inference.py; 06_scripts/python/phase2B2D1_fiji_integrated_evidence_grading.py; 06_scripts/python/phase2B2D2_fiji_biological_synthesis.py; 06_scripts/python/phase2C1_fiji_multivariate_readiness.py; 06_scripts/python/phase2C2A_fiji_crossreactive_breadth_scores.py; 06_scripts/python/phase2C2B_fiji_crossreactive_breadth_inference.py; 06_scripts/python/phase2C2C_fiji_crossreactive_breadth_synthesis.py; 06_scripts/python/phase2C3A_fiji_functional_coupling_atlas.py; 06_scripts/python/phase2C3B_fiji_context_partial_coupling.py; 06_scripts/python/phase2C3C_fiji_functional_coupling_synthesis.py; 06_scripts/python/phase2C4A_fiji_pca_evidence_inspection.py; 06_scripts/python/phase2C4A_fiji_standardized_pca_architecture.py; 06_scripts/python/phase2C4B_fiji_pca_stability_and_clustering.py; 06_scripts/python/phase2C4B_fiji_stability_clustering_evidence_inspection.py; 06_scripts/python/phase2C4C_fiji_immune_state_synthesis.py; 06_scripts/python/phase2C5A_fiji_multivariate_figure_construction.py; 06_scripts/python/phase2C5B_fiji_figure_qa_and_legends.py; 06_scripts/python/phase2C5C_fiji_final_figure_polish_and_qa.py; 06_scripts/python/phase3D2D_hpv_repository_identity_rebuild.py
platform	STANDARD_LIBRARY			True	1	06_scripts/python/phase3D2D_hpv_repository_identity_rebuild.py
re	STANDARD_LIBRARY			True	3	06_scripts/python/phase1B2_classify_fiji_metadata_structure.py; 06_scripts/python/phase1B_inspect_fiji_workbook.py; 06_scripts/python/phase1C_normalize_fiji_systems_serology.py
scipy	THIRD_PARTY	scipy	1.16.1	True	13	06_scripts/python/phase2A_fiji_descriptive_immune_landscape.py; 06_scripts/python/phase2B1_fiji_core_inferential_contrasts.py; 06_scripts/python/phase2B2A1_refit_hpv16_fcgr2a.py; 06_scripts/python/phase2B2A2_hpv16_fcgr2a_boundary_sensitivity.py; 06_scripts/python/phase2B2A_fiji_mixed_model_confirmation.py; 06_scripts/python/phase2B2B_fiji_floor_sensitivity.py; 06_scripts/python/phase2B2C_fiji_bpv_calibrated_inference.py; 06_scripts/python/phase2C2B_fiji_crossreactive_breadth_inference.py; 06_scripts/python/phase2C3A_fiji_functional_coupling_atlas.py; 06_scripts/python/phase2C3B_fiji_context_partial_coupling.py; 06_scripts/python/phase2C4A_fiji_standardized_pca_architecture.py; 06_scripts/python/phase2C4B_fiji_pca_stability_and_clustering.py; 06_scripts/python/phase2C4C_fiji_immune_state_synthesis.py
sklearn	THIRD_PARTY	scikit-learn	1.9.0	True	2	06_scripts/python/phase2C4A_fiji_standardized_pca_architecture.py; 06_scripts/python/phase2C4B_fiji_pca_stability_and_clustering.py
statsmodels	THIRD_PARTY	statsmodels	0.14.6	True	7	06_scripts/python/phase2B2A1_refit_hpv16_fcgr2a.py; 06_scripts/python/phase2B2A2_hpv16_fcgr2a_boundary_sensitivity.py; 06_scripts/python/phase2B2A_fiji_mixed_model_confirmation.py; 06_scripts/python/phase2C2B_fiji_crossreactive_breadth_inference.py; 06_scripts/python/phase2C3A_fiji_functional_coupling_atlas.py; 06_scripts/python/phase2C3B_fiji_context_partial_coupling.py; 06_scripts/python/phase2C4A_fiji_standardized_pca_architecture.py
subprocess	STANDARD_LIBRARY			True	1	06_scripts/python/phase3D2D_hpv_repository_identity_rebuild.py
sys	STANDARD_LIBRARY			True	30	06_scripts/python/phase1B_inspect_fiji_workbook.py; 06_scripts/python/phase1C_normalize_fiji_systems_serology.py; 06_scripts/python/phase1D_fiji_statistical_readiness_audit.py; 06_scripts/python/phase1E_correct_fiji_immunization_context.py; 06_scripts/python/phase1F_build_fiji_analysis_contract.py; 06_scripts/python/phase2A_fiji_descriptive_immune_landscape.py; 06_scripts/python/phase2B1_fiji_core_inferential_contrasts.py; 06_scripts/python/phase2B2A1_refit_hpv16_fcgr2a.py; 06_scripts/python/phase2B2A2_hpv16_fcgr2a_boundary_sensitivity.py; 06_scripts/python/phase2B2A_fiji_mixed_model_confirmation.py; 06_scripts/python/phase2B2B_fiji_floor_sensitivity.py; 06_scripts/python/phase2B2C_fiji_bpv_calibrated_inference.py; 06_scripts/python/phase2B2D1_fiji_integrated_evidence_grading.py; 06_scripts/python/phase2B2D2_fiji_biological_synthesis.py; 06_scripts/python/phase2C1_fiji_multivariate_readiness.py; 06_scripts/python/phase2C2A_fiji_crossreactive_breadth_scores.py; 06_scripts/python/phase2C2B_fiji_crossreactive_breadth_inference.py; 06_scripts/python/phase2C2C_fiji_crossreactive_breadth_synthesis.py; 06_scripts/python/phase2C3A_fiji_functional_coupling_atlas.py; 06_scripts/python/phase2C3B_fiji_context_partial_coupling.py; 06_scripts/python/phase2C3C_fiji_functional_coupling_synthesis.py; 06_scripts/python/phase2C4A_fiji_pca_evidence_inspection.py; 06_scripts/python/phase2C4A_fiji_standardized_pca_architecture.py; 06_scripts/python/phase2C4B_fiji_pca_stability_and_clustering.py; 06_scripts/python/phase2C4B_fiji_stability_clustering_evidence_inspection.py; 06_scripts/python/phase2C4C_fiji_immune_state_synthesis.py; 06_scripts/python/phase2C5A_fiji_multivariate_figure_construction.py; 06_scripts/python/phase2C5B_fiji_figure_qa_and_legends.py; 06_scripts/python/phase2C5C_fiji_final_figure_polish_and_qa.py; 06_scripts/python/phase3D2D_hpv_repository_identity_rebuild.py
typing	STANDARD_LIBRARY			True	7	06_scripts/python/phase1B2_classify_fiji_metadata_structure.py; 06_scripts/python/phase1B_inspect_fiji_workbook.py; 06_scripts/python/phase1C_normalize_fiji_systems_serology.py; 06_scripts/python/phase2A_fiji_descriptive_immune_landscape.py; 06_scripts/python/phase2B1_fiji_core_inferential_contrasts.py; 06_scripts/python/phase2B2B_fiji_floor_sensitivity.py; 06_scripts/python/phase2B2C_fiji_bpv_calibrated_inference.py
warnings	STANDARD_LIBRARY			True	2	06_scripts/python/phase2B2A1_refit_hpv16_fcgr2a.py; 06_scripts/python/phase2B2A_fiji_mixed_model_confirmation.py
xml	STANDARD_LIBRARY			True	2	06_scripts/python/phase2C5B_fiji_figure_qa_and_legends.py; 06_scripts/python/phase2C5C_fiji_final_figure_polish_and_qa.py
